service_id,dim_call_service_id,dim_language_id,dim_client_id
151,SAVE_CTR_cmn_None_IN2,Chinese Mandarin,sanofi_aventis
152,SAVE_IND_hin_None_IN2,Hindi,sanofi_aventis
153,SAVE_JPN_jpn_None_IN2,Japanese,sanofi_aventis
154,SAVE_KOR_kor_None_IN2,Korean,sanofi_aventis
156,SAVE_THA_tha_None_IN2,Thai,sanofi_aventis
157,ARIS_JPN_jpn_None_IN2,Japanese,ArisGlobal
158,SAVE_CTR_tha_None_M32,Thai,sanofi_aventis
160,SPAS_TWN_cmn_None_IN2,Chinese Mandarin,Sanofi_Pasteur
161,SPAS_THA_tha_None_IN2,Thai,Sanofi_Pasteur
162,SPAS_TWN_cmn_None_M32,Chinese Mandarin,Sanofi_Pasteur
163,SPAS_THA_tha_None_M32,Thai,Sanofi_Pasteur
179,CRFH_USA_eng_None_IN1,English,CRF_Health
179,CRFH_USA_eng_None_M31,English,CRF_Health
179,LVNA_CTR_eng_HelpLine_M31,English,Louis_Vuitton_North_America
181,LVNA_CTR_eng_VIP_M31,English,Louis_Vuitton_North_America
184,MCRD_CTR_eng_Nonrecord_IN1,English,MasterCard
190,CEC__CTR_Lng_None_Out,Undefined,CEC
192,PUR__CTR_Eng_None_IN1,English,Puratos
193,PUR__CTR_Eng_Vall_IN1,English,Puratos
194,PUR__CTR_Fre_None_IN1,French,Puratos
195,PUR__CTR_Fre_None_IN2,French,Puratos
196,HNDA_USA_Lng_Bat_IN1,Undefined,Honda
196,PUR__CTR_Eng_None_IN2OVFre,English,Puratos
197,PUR__CTR_Fre_Vall_IN1,French,Puratos
198,PUR__CTR_Fre_Vall_IN2,French,Puratos
199,PUR__CTR_Eng_Vall_IN2OVFre,English,Puratos
200,PUR__BEL_Dut_None_IN1,Dutch,Puratos
201,HNDA_CTR_Lng_Bat_M31,Undefined,Honda
203,PUR__NLD_Dut_None_IN1,Dutch,Puratos
208,PUR__CTR_Fre_None_M32,French,Puratos
209,PUR__CTR_Fre_Vall_M32,French,Puratos
210,PUR__NLD_Dut_None_M31,Dutch,Puratos
211,TRWA_USA_eng_None_IN1,English,TRW_Automotive
212,ACST_CTR_eng_ES400CBack_OB2,English,Acosta_ServiceDesk
212,PUR__BEL_Dut_None_M31,Dutch,Puratos
212,TRWA_USA_spa_None_IN1,Spanish,TRW_Automotive
213,TRWA_CTR_Lng_None_Out,Undefined,TRW_Automotive
214,PUR__CTR_Lng_None_Out,Undefined,Puratos
214,TRWA_USA_Lng_None_M31,Undefined,TRW_Automotive
216,TTSD_CTR_Lng_None_Out,Undefined,TTSD
217,TTSD_CTR_Eng_None_IN1,English,TTSD
217,VALL_CTR_Lng_None_M31,Undefined,Vallourec
218,TTSD_CTR_Eng_Vips_IN1,English,TTSD
219,LVNA_CTR_eng_None_IN1,English,Louis_Vuitton_North_America
219,TTSD_CTR_Eng_Numonyx_IN1,English,TTSD
220,LVNA_CTR_eng_Batphone_IN1,English,Louis_Vuitton_North_America
220,TTSD_CTR_Eng_NumonyxVips_IN1,English,TTSD
221,LVNA_CTR_eng_None_IN1AH,English,Louis_Vuitton_North_America
222,LVNA_CTR_eng_Batphone_IN1AH,English,Louis_Vuitton_North_America
223,LVNA_CTR_eng_VIP_IN1,English,Louis_Vuitton_North_America
224,LVNA_CTR_eng_VIP_IN1AH,English,Louis_Vuitton_North_America
226,LVNA_CTR_Lng_None_OutNY,Undefined,Louis_Vuitton_North_America
229,HENZ_ESP_Spa_None_IN1,Spanish,Heinz_Bucharest
230,HENZ_ESP_Spa_None_IN2,Spanish,Heinz_Bucharest
232,HENZ_DEU_Ger_None_IN1,German,Heinz_Bucharest
233,HENZ_DEU_Ger_None_IN2,German,Heinz_Bucharest
234,ESLR_USA_eng_None_IN1AH,English,Essilor
234,HENZ_DEU_Eng_None_IN2OVGer,English,Heinz_Bucharest
235,HENZ_FRA_Fre_None_IN1,French,Heinz_Bucharest
235,RT_1_USA_eng_support_IN1,English,Route_One
236,HENZ_FRA_Fre_None_IN2,French,Heinz_Bucharest
236,RT_1_USA_eng_econtract_IN1,English,Route_One
237,RT_1_USA_eng_enroll_IN1,English,Route_One
238,HENZ_ESP_Eng_None_IN1AHSpa,English,Heinz_Bucharest
238,RT_1_CAN_eng_enroll_IN1,English,Route_One
239,HENZ_DEU_Ger_None_M31,German,Heinz_Bucharest
239,RT_1_CAN_fre_enroll_IN1,French,Route_One
240,HENZ_DEU_Ger_None_M32,German,Heinz_Bucharest
240,RT_1_CAN_eng_support_IN1,English,Route_One
241,HENZ_ESP_Spa_None_M31,Spanish,Heinz_Bucharest
241,RT_1_CAN_fre_support_IN1,French,Route_One
242,HENZ_ESP_Spa_None_M32,Spanish,Heinz_Bucharest
242,RT_1_USA_eng_pwreset_IN1,English,Route_One
243,HENZ_FRA_Fre_None_M31,French,Heinz_Bucharest
244,HENZ_FRA_Fre_None_M32,French,Heinz_Bucharest
244,RT_1_CTR_eng_None_M31,English,Route_One
245,HENZ_GBR_Eng_None_IN1,English,Heinz_Bucharest
245,RT_1_CTR_fre_None_M31,French,Route_One
246,HENZ_NLD_Eng_None_IN1,English,Heinz_Bucharest
248,RT_1_CTR_eng_enroll_M31,English,Route_One
249,HENZ_DEU_Eng_None_IN1,English,Heinz_Bucharest
249,RT_1_CTR_eng_pwreset_M31,English,Route_One
250,HENZ_GBR_Eng_None_M31,English,Heinz_Bucharest
250,RT_1_CAN_fre_enroll_IN2,French,Route_One
251,HENZ_NLD_Eng_None_M31,English,Heinz_Bucharest
251,RT_1_CAN_fre_support_IN2,French,Route_One
252,HENZ_DEU_Eng_None_IN1AHGer,English,Heinz_Bucharest
252,RT_1_CAN_eng_enroll_IN2OVFre,English,Route_One
253,HENZ_FRA_Eng_None_IN1AHFre,English,Heinz_Bucharest
253,RT_1_CAN_eng_support_IN2OVFre,English,Route_One
254,HENZ_FRA_Eng_None_IN1,English,Heinz_Bucharest
254,RT_1_CTR_fre_support_M32,French,Route_One
255,HENZ_ESP_Eng_None_IN1,English,Heinz_Bucharest
255,RT_1_CTR_fre_enroll_M32,French,Route_One
256,HENZ_FRA_Eng_None_IN2OVFre,English,Heinz_Bucharest
257,HENZ_ESP_Eng_None_IN2OVSpa,English,Heinz_Bucharest
265,WSP__BEL_Dut_NoCode_IN1,Dutch,Worldspan_Brussels
266,WSP__BEL_Dut_NoCode_IN2,Dutch,Worldspan_Brussels
267,WSP__BEL_Dut_Bronze_IN1,Dutch,Worldspan_Brussels
268,WSP__BEL_Dut_Bronze_IN2,Dutch,Worldspan_Brussels
269,WSP__BEL_Dut_Silver_IN1,Dutch,Worldspan_Brussels
270,WSP__BEL_Dut_Silver_IN2,Dutch,Worldspan_Brussels
271,WSP__BEL_Dut_Gold_IN1,Dutch,Worldspan_Brussels
272,WSP__BEL_Dut_Gold_IN2,Dutch,Worldspan_Brussels
273,WSP__BEL_Dut_Platinum_IN1,Dutch,Worldspan_Brussels
274,WSP__BEL_Dut_Platinum_IN2,Dutch,Worldspan_Brussels
276,HNDA_USA_eng_Batphone_IN1,English,Honda
277,WSP__CTR_Eng_SEGM_IN2OVDut,English,Worldspan_Bucharest
278,WSP__DNK_Dan_Bronze_IN1,Danish,Worldspan_Brussels
279,WSP__DNK_Dan_Bronze_IN2,Danish,Worldspan_Brussels
280,WSP__DNK_Dan_Gold_IN1,Danish,Worldspan_Brussels
281,WSP__DNK_Dan_Gold_IN2,Danish,Worldspan_Brussels
282,WSP__DNK_Dan_NoCode_IN1,Danish,Worldspan_Brussels
283,WSP__DNK_Dan_NoCode_IN2,Danish,Worldspan_Brussels
284,SPAS_CHN_cmn_None_IN1,Chinese Mandarin,Sanofi_Pasteur
284,WSP__DNK_Dan_Platinum_IN1,Danish,Worldspan_Brussels
285,SPAS_CHN_cmn_None_IN2,Chinese Mandarin,Sanofi_Pasteur
285,WSP__DNK_Dan_Platinum_IN2,Danish,Worldspan_Brussels
286,IBO__CTR_Lng_None_Out,Undefined,IBO
286,SPAS_CHN_eng_None_IN2OVCmn,English,Sanofi_Pasteur
286,WSP__DNK_Dan_Silver_IN1,Danish,Worldspan_Brussels
287,SPAS_CHN_cmn_None_M32,Chinese Mandarin,Sanofi_Pasteur
287,WSP__DNK_Dan_Silver_IN2,Danish,Worldspan_Brussels
289,WSP__NLD_Dut_Bronze_IN1,Dutch,Worldspan_Brussels
290,WSP__NLD_Dut_Bronze_IN2,Dutch,Worldspan_Brussels
291,RT_1_USA_eng_saturday_IN1,English,Route_One
291,WSP__NLD_Dut_Gold_IN1,Dutch,Worldspan_Brussels
292,CRFH_CTR_Lng_Survey_IN1,Undefined,CRF_Health
292,WSP__NLD_Dut_Gold_IN2,Dutch,Worldspan_Brussels
293,BCGA_DEU_Ger_None_ASBR,German,BCGA
293,WSP__NLD_Dut_NoCode_IN1,Dutch,Worldspan_Brussels
294,BCGA_FRA_Fre_None_ASBR,French,BCGA
294,WSP__NLD_Dut_NoCode_IN2,Dutch,Worldspan_Brussels
295,BCGA_ITA_Ita_None_ASBR,Italian,BCGA
295,WSP__NLD_Dut_Platinum_IN1,Dutch,Worldspan_Brussels
296,BCGA_CTR_Spa_None_ASBR,Spanish,BCGA
296,WSP__NLD_Dut_Platinum_IN2,Dutch,Worldspan_Brussels
297,BCGA_RUS_Eng_None_ASBR,English,BCGA
297,WSP__NLD_Dut_Silver_IN1,Dutch,Worldspan_Brussels
298,WSP__NLD_Dut_Silver_IN2,Dutch,Worldspan_Brussels
300,RT_1_CTR_Lng_None_OUT,Undefined,Route_One
300,WSP__FIN_Fin_Bronze_IN1,Finnish,Worldspan_Brussels
301,LVNA_CTR_Lng_None_Out,Undefined,Louis_Vuitton_North_America
301,WSP__FIN_Fin_Bronze_IN2,Finnish,Worldspan_Brussels
302,WSP__FIN_Fin_Gold_IN1,Finnish,Worldspan_Brussels
303,COVN_CTR_Lng_None_Out,Undefined,Covance
303,WSP__FIN_Fin_Gold_IN2,Finnish,Worldspan_Brussels
304,WSP__FIN_Fin_NoCode_IN1,Finnish,Worldspan_Brussels
305,CRFH_USA_eng_Silent_IN1,English,CRF_Health
305,WSP__FIN_Fin_NoCode_IN2,Finnish,Worldspan_Brussels
306,WSP__FIN_Fin_Platinum_IN1,Finnish,Worldspan_Brussels
307,BRFN_CTR_Lng_None_M31,Undefined,Brown_Forman
307,WSP__FIN_Fin_Platinum_IN2,Finnish,Worldspan_Brussels
308,BCGA_CTR_spa_None_IN1,Spanish,BCGA
308,WSP__FIN_Fin_Silver_IN1,Finnish,Worldspan_Brussels
309,BRFN_CTR_eng_None_IN1,English,Brown_Forman
309,WSP__FIN_Fin_Silver_IN2,Finnish,Worldspan_Brussels
310,BCGA_CTR_eng_Resource_IN1,English,BCGA
311,WSP__NOR_Nor_Bronze_IN1,Norwegian,Worldspan_Brussels
312,WSP__NOR_Nor_Bronze_IN2,Norwegian,Worldspan_Brussels
313,WSP__NOR_Nor_Gold_IN1,Norwegian,Worldspan_Brussels
314,WSP__NOR_Nor_Gold_IN2,Norwegian,Worldspan_Brussels
315,BRFN_CTR_eng_None_IN1AH,English,Brown_Forman
315,WSP__NOR_Nor_NoCode_IN1,Norwegian,Worldspan_Brussels
316,WSP__NOR_Nor_NoCode_IN2,Norwegian,Worldspan_Brussels
317,WSP__NOR_Nor_Platinum_IN1,Norwegian,Worldspan_Brussels
318,BRFN_CTR_eng_None_M32,English,Brown_Forman
318,WSP__NOR_Nor_Platinum_IN2,Norwegian,Worldspan_Brussels
319,BRFN_CTR_spa_None_M32,Spanish,Brown_Forman
319,WSP__NOR_Nor_Silver_IN1,Norwegian,Worldspan_Brussels
320,BRFN_CTR_eng_None_IN2,English,Brown_Forman
320,WSP__NOR_Nor_Silver_IN2,Norwegian,Worldspan_Brussels
321,BRFN_CTR_spa_None_IN2,Spanish,Brown_Forman
322,JDSD_CHN_Lng_None_Out,Undefined,JDSD_Shanghai
322,WSP__POL_Pol_Bronze_IN1,Polish,Worldspan_Brussels
323,JDSD_CHN_cmn_Employee_IN1,Chinese Mandarin,JDSD_Shanghai
323,WSP__POL_Pol_Bronze_IN2,Polish,Worldspan_Brussels
324,BRFN_CTR_spa_None_IN1,Spanish,Brown_Forman
324,WSP__POL_Pol_Gold_IN1,Polish,Worldspan_Brussels
325,JDSD_CHN_Lng_None_M31,Undefined,JDSD_Shanghai
325,WSP__POL_Pol_Gold_IN2,Polish,Worldspan_Brussels
326,WSP__POL_Pol_NoCode_IN1,Polish,Worldspan_Brussels
327,WSP__POL_Pol_NoCode_IN2,Polish,Worldspan_Brussels
328,WSP__POL_Pol_Platinum_IN1,Polish,Worldspan_Brussels
329,BRFN_CTR_spa_None_IN1AH,Spanish,Brown_Forman
329,WSP__POL_Pol_Platinum_IN2,Polish,Worldspan_Brussels
330,WSP__POL_Pol_Silver_IN1,Polish,Worldspan_Brussels
331,WSP__POL_Pol_Silver_IN2,Polish,Worldspan_Brussels
332,TOWN_USA_eng_None_M31,English,Town_Sports_International
333,WSP__SWE_Swe_Bronze_IN1,Swedish,Worldspan_Brussels
334,WSP__SWE_Swe_Bronze_IN2,Swedish,Worldspan_Brussels
335,DUKE_CTR_eng_None_IN1,English,Duke
335,TOWN_USA_eng_Info_IN1,English,Town_Sports_International
335,WSP__SWE_Swe_Gold_IN1,Swedish,Worldspan_Brussels
336,DUKE_CTR_eng_None_IN1AH,English,Duke
336,RT_1_CTR_eng_ReturnCall_IN1,English,Route_One
336,WSP__SWE_Swe_Gold_IN2,Swedish,Worldspan_Brussels
337,DUKE_CTR_eng_VIP_IN1,English,Duke
337,RT_1_CTR_fre_ReturnCall_IN1,French,Route_One
337,TOWN_CTR_Lng_None_Out,Undefined,Town_Sports_International
337,WSP__SWE_Swe_NoCode_IN1,Swedish,Worldspan_Brussels
338,DUKE_CTR_eng_VIP_IN1AH,English,Duke
338,TOWN_USA_eng_Other_IN1,English,Town_Sports_International
338,TOWN_USA_eng_VIP_IN1,English,Town_Sports_International
338,WSP__SWE_Swe_NoCode_IN2,Swedish,Worldspan_Brussels
339,DUKE_CTR_eng_Bat_IN1,English,Duke
339,WSP__SWE_Swe_Platinum_IN1,Swedish,Worldspan_Brussels
340,DUKE_CTR_eng_Bat_IN1AH,English,Duke
340,VIST_CTR_eng_None_M31,English,Visteon
340,WSP__SWE_Swe_Platinum_IN2,Swedish,Worldspan_Brussels
341,DUKE_CTR_eng_CS_IN1,English,Duke
341,VIST_KOR_kor_None_M31,Korean,Visteon
341,WSP__SWE_Swe_Silver_IN1,Swedish,Worldspan_Brussels
342,DUKE_CTR_eng_CS_IN1AH,English,Duke
342,WSP__SWE_Swe_Silver_IN2,Swedish,Worldspan_Brussels
343,DUKE_CTR_LNG_None_OUT,Undefined,Duke
343,VIST_CTR_eng_None_IN1,English,Visteon
344,Gali_BEL_Dut_Bronze_IN1,Dutch,Galileo_Brussels
344,VIST_CTR_eng_Priority_IN1,English,Visteon
345,BCGA_CTR_spa_None_M31,Spanish,BCGA
345,Gali_BEL_Dut_NoCode_IN1,Dutch,Galileo_Brussels
345,VIST_KOR_kor_None_IN1,Korean,Visteon
346,BCGA_CTR_spa_LA_M31,Spanish,BCGA
346,Gali_BEL_Dut_Silver_IN1,Dutch,Galileo_Brussels
346,VIST_KOR_kor_Priority_IN1,Korean,Visteon
347,DUKE_CTR_eng_None_M31,English,Duke
347,Gali_BEL_Dut_Gold_IN1,Dutch,Galileo_Brussels
348,Gali_BEL_Dut_Platinum_IN1,Dutch,Galileo_Brussels
349,Gali_DNK_Dan_Bronze_IN1,Danish,Galileo_Brussels
350,Gali_DNK_Dan_Gold_IN1,Danish,Galileo_Brussels
351,Gali_DNK_Dan_NoCode_IN1,Danish,Galileo_Brussels
351,IBO__CTR_Lng_None_Out,Undefined,IBO
352,ESLR_USA_eng_Google_IN1,English,Essilor
352,Gali_DNK_Dan_Platinum_IN1,Danish,Galileo_Brussels
353,APRO_USA_eng_ASC_IN1,English,AVID_PRO_Manila
353,Gali_DNK_Dan_Silver_IN1,Danish,Galileo_Brussels
354,APRO_USA_eng_Support_IN1,English,AVID_PRO_Manila
354,Gali_FIN_Fin_Bronze_IN1,Finnish,Galileo_Brussels
355,APRO_USA_eng_CSA_IN1,English,AVID_PRO_Manila
355,Gali_FIN_Fin_Gold_IN1,Finnish,Galileo_Brussels
356,Gali_FIN_Fin_NoCode_IN1,Finnish,Galileo_Brussels
357,Gali_FIN_Fin_Platinum_IN1,Finnish,Galileo_Brussels
358,Gali_FIN_Fin_Silver_IN1,Finnish,Galileo_Brussels
364,Gali_NLD_Dut_Bronze_IN1,Dutch,Galileo_Brussels
365,EMBR_CTR_eng_Chat_AWD,English,Embraer
365,Gali_NLD_Dut_Gold_IN1,Dutch,Galileo_Brussels
366,Gali_NLD_Dut_NoCode_IN1,Dutch,Galileo_Brussels
367,APRO_USA_eng_ASC_M31,English,AVID_PRO_Manila
367,Gali_NLD_Dut_Platinum_IN1,Dutch,Galileo_Brussels
368,APRO_USA_eng_Support_M31,English,AVID_PRO_Manila
368,Gali_NLD_Dut_Silver_IN1,Dutch,Galileo_Brussels
369,APRO_USA_eng_CSA_M31,English,AVID_PRO_Manila
369,Gali_NOR_Nor_Bronze_IN1,Norwegian,Galileo_Brussels
370,ACST_CTR_eng_None_AWD,English,Acosta_ServiceDesk
370,Gali_NOR_Nor_Gold_IN1,Norwegian,Galileo_Brussels
371,Gali_NOR_Nor_NoCode_IN1,Norwegian,Galileo_Brussels
371,NVLS_CTR_eng_KorTranslator_IN1,English,Novelis
372,Gali_NOR_Nor_Platinum_IN1,Norwegian,Galileo_Brussels
372,NVLS_CTR_eng_KorTranslatorNR_IN1,English,Novelis
373,Gali_NOR_Nor_Silver_IN1,Norwegian,Galileo_Brussels
374,Gali_POL_Pol_Bronze_IN1,Polish,Galileo_Brussels
375,Gali_POL_Pol_Gold_IN1,Polish,Galileo_Brussels
376,Gali_POL_Pol_NoCode_IN1,Polish,Galileo_Brussels
376,JDSD_USA_eng_Telepres_M31,English,JDSD_Davenport
377,ALCO_AUS_eng_None_M31,English,Alcoa
377,Gali_POL_Pol_Platinum_IN1,Polish,Galileo_Brussels
378,Gali_POL_Pol_Silver_IN1,Polish,Galileo_Brussels
379,ALCO_CTR_Lng_ActNet_M31,Undefined,Alcoa
379,Gali_SWE_Swe_Bronze_IN1,Swedish,Galileo_Brussels
380,Gali_SWE_Swe_Gold_IN1,Swedish,Galileo_Brussels
381,Gali_SWE_Swe_NoCode_IN1,Swedish,Galileo_Brussels
381,JDSD_CTR_eng_CS_IN1,English,JDSD_Davenport
382,Gali_SWE_Swe_Platinum_IN1,Swedish,Galileo_Brussels
383,Gali_SWE_Swe_Silver_IN1,Swedish,Galileo_Brussels
386,JDSD_USA_Eng_PR5_M31,English,JDSD_Davenport
391,BCGA_CTR_eng_AfterHours_IN1,English,BCGA
391,WSP__BEL_Lng_SEGM_M31,Undefined,Worldspan_Brussels
392,Gali_BEL_Lng_SEGM_M31,Undefined,Galileo_Brussels
393,Gali_DNK_Dan_SEGM_M31,Danish,Galileo_Brussels
394,Gali_FIN_Fin_SEGM_M31,Finnish,Galileo_Brussels
395,Gali_NLD_Dut_SEGM_M31,Dutch,Galileo_Brussels
396,Gali_NOR_Nor_SEGM_M31,Norwegian,Galileo_Brussels
397,Gali_SWE_Swe_SEGM_M31,Swedish,Galileo_Brussels
397,HURN_CTR_Lng_None_OUT,Undefined,Huron_Consulting_Group
398,WSP__BEL_Dut_NoCode_M32,Dutch,Worldspan_Brussels
399,WSP__BEL_Dut_Bronze_M32,Dutch,Worldspan_Brussels
400,WSP__BEL_Dut_Silver_M32,Dutch,Worldspan_Brussels
401,WSP__BEL_Dut_Gold_M32,Dutch,Worldspan_Brussels
402,WSP__BEL_Dut_Platinum_M32,Dutch,Worldspan_Brussels
403,WSP__DNK_Dan_SEGM_M31,Danish,Worldspan_Brussels
404,WSP__DNK_Dan_NoCode_M32,Danish,Worldspan_Brussels
405,ARIS_JPN_jpn_None_ASBR,Japanese,ArisGlobal
405,WSP__DNK_Dan_Bronze_M32,Danish,Worldspan_Brussels
406,WSP__DNK_Dan_Silver_M32,Danish,Worldspan_Brussels
407,WSP__DNK_Dan_Gold_M32,Danish,Worldspan_Brussels
408,WSP__DNK_Dan_Platinum_M32,Danish,Worldspan_Brussels
409,WSP__FIN_Fin_SEGM_M31,Finnish,Worldspan_Brussels
410,WSP__FIN_Fin_NoCode_M32,Finnish,Worldspan_Brussels
411,WSP__FIN_Fin_Bronze_M32,Finnish,Worldspan_Brussels
412,JDSD_USA_Eng_Telepres_IN1,English,JDSD_Davenport
412,WSP__FIN_Fin_Silver_M32,Finnish,Worldspan_Brussels
413,JDSD_USA_Eng_TeleT1_IN1,English,JDSD_Davenport
413,WSP__FIN_Fin_Gold_M32,Finnish,Worldspan_Brussels
414,WSP__FIN_Fin_Platinum_M32,Finnish,Worldspan_Brussels
415,JDSD_CTR_eng_TeleMNL_IN1,English,JDSD_Davenport
415,WSP__NLD_Dut_SEGM_M31,Dutch,Worldspan_Brussels
416,SFLD_CTR_Lng_Survey_IN1,Undefined,SFLD_MISC_No_Reporting
416,WSP__NLD_Dut_NoCode_M32,Dutch,Worldspan_Brussels
417,WSP__NLD_Dut_Bronze_M32,Dutch,Worldspan_Brussels
418,SAVE_CHN_cmn_None_ASBR,Chinese Mandarin,sanofi_aventis
