timezone_name
America/Buenos_Aires
Asia/Manila
Asia/Shanghai
Australia/Melbourne
Australia/Sydney
Brazil/East
Europe/Berlin
Europe/Bucharest
ICT
IST
US/Central
US/Eastern
US/Mountain
US/Pacific
UTC
WET
ART(UTC-3;NoDST)
BNT(UTC+8;NoDST)
BRT(UTC-3;DST=UTC-2)
CET(UTC+1;DST=UTC+2)
CST(UTC-6;DST=UTC-5)
CTZ(UTC+8;NoDST)
EET(UTC+2;DST=UTC+3)
EST(UTC-5;DST=UTC-4)
IST(UTC+5.5;NoDST)
MST(UTC-7;DST=UTC-6)
PST(UTC-8;DST=UTC-7)
WET(UTC;DST=UTC+1)
